"id","latitude","longitude"
"030110","33.46267065","-112.353051428275"
"030111","32.1753321","-110.930322496003"
"030112","33.3351875","-111.8470446"
"030113","33.8758829","-109.9577386"
"030114","32.42941105","-110.948913146488"
"030115","33.47826845","-112.257378804954"
"030117","35.0027485","-114.5962766"
"030118","34.59033805","-112.329434022981"
"030119","33.2870882","-111.752236912864"
"030120","33.3137966","-111.6873346"
"030121","33.389562","-111.615288"
"030122","33.3841988","-111.722589476763"
"030123","33.6770539","-111.8937294"
"030130","33.21561935","-111.564905113519"
"030131","33.455786390815","-111.995342322681"
"030132","33.0731864","-111.4858889"
"030134","33.39459885","-111.567181586058"
"030136","33.381950235","-112.168374475"
"030137","31.80655509999999","-111.0098374"
"031300","33.9783985","-112.739851543689"
"031301","31.9647199","-110.30860021498"
"031302","32.2651761","-109.838363550101"
